종목별,현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
종목별,현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
삼성전자,"183,650","하락5,350",-2.83%,"7,530,563","1,389,949","10,871,415"
SK하이닉스,"959,000","하락36,000",-3.62%,"944,407","910,344","6,834,816"
현대차,"494,500","하락6,500",-1.30%,"191,910","95,002","1,012,527"
LG에너지솔루션,"388,500","하락5,500",-1.40%,"52,772","20,609","909,090"
SK스퀘어,"575,000","하락30,000",-4.96%,"111,208","64,925","759,501"
삼성바이오로직스,"1,594,000","상승9,000",+0.57%,"5,644","9,054","737,878"
한화에어로스페이스,"1,400,000",보합0,0.00%,"35,231","49,608","721,888"
두산에너빌리티,"102,300",하락300,-0.29%,"527,819","54,172","655,294"
기아,"155,500","하락2,400",-1.52%,"188,748","29,401","607,092"
KB금융,"152,100","상승2,700",+1.81%,"194,738","29,388","567,106"
""
""
종목별,현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
HD현대중공업,"520,000","하락3,000",-0.57%,"39,339","20,587","545,798"
삼성물산,"286,000","하락3,000",-1.04%,"66,376","19,119","486,133"
셀트리온,"204,500","상승1,000",+0.49%,"98,136","20,181","472,494"
삼성생명,"227,000",하락500,-0.22%,"28,370","6,413","454,000"
신한지주,"93,600","상승1,500",+1.63%,"160,109","14,910","444,276"
한화오션,"127,500","상승2,800",+2.25%,"344,629","44,321","390,677"
미래에셋증권,"68,200",상승900,+1.34%,"1,340,661","90,755","378,726"
현대모비스,"399,000","하락3,000",-0.75%,"36,862","14,658","362,023"
HD현대일렉트릭,"982,000","하락10,000",-1.01%,"19,325","19,178","353,983"
삼성전기,"458,500","상승4,000",+0.88%,"153,612","70,527","342,471"
""
""
종목별,현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
NAVER,"215,500",보합0,0.00%,"76,539","16,534","338,017"
고려아연,"1,569,000","하락24,000",-1.51%,"2,353","3,708","327,497"
삼성SDI,"405,000","상승1,000",+0.25%,"127,372","51,927","326,371"
하나금융지주,"109,100",상승400,+0.37%,"116,601","12,715","303,653"
한국전력,"46,000",하락450,-0.97%,"361,198","16,632","295,303"
POSCO홀딩스,"348,000","상승6,000",+1.75%,"77,297","26,871","281,647"
한미반도체,"292,750","하락7,250",-2.42%,"108,630","31,950","279,026"
효성중공업,"2,930,000","하락60,000",-2.01%,"10,831","32,475","273,209"
HD한국조선해양,"380,500","하락4,500",-1.17%,"40,659","15,674","269,292"
한화시스템,"133,950","하락2,650",-1.94%,"286,188","38,682","253,058"
""
""
종목별,현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
LS ELECTRIC,"844,000",보합0,0.00%,"17,153","14,622","253,200"
SK,"348,000","상승2,000",+0.58%,"23,553","8,190","252,309"
우리금융지주,"33,050",상승50,+0.15%,"141,391","4,666","242,612"
삼성중공업,"26,900",상승50,+0.19%,"777,569","21,164","236,720"
LG화학,"320,500","상승2,500",+0.79%,"43,411","13,923","226,248"
카카오,"49,200",상승150,+0.31%,"202,052","9,956","217,841"
삼성화재,"466,000","하락24,000",-4.90%,"17,110","8,024","214,412"
HD현대,"269,000","상승4,000",+1.51%,"16,923","4,534","212,491"
현대로템,"190,400",하락300,-0.16%,"185,335","35,477","207,807"
두산,"1,240,000","하락10,000",-0.80%,"10,972","13,706","200,804"
""
""
종목별,현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
메리츠금융지주,"114,800","상승3,400",+3.05%,"45,258","5,147","194,013"
SK이노베이션,"112,000","하락2,100",-1.84%,"47,679","5,374","189,339"
HMM,"19,910",하락20,-0.10%,"323,719","6,463","187,799"
기업은행,"23,500",상승100,+0.43%,"96,032","2,251","187,395"
