종목명,현재가,전일비,등락률,거래량,거래대금,시가총액
삼성전자,"180,100","하락 8,900",-4.71%,"30,096,671","5,485,512","10,661,268"
SK하이닉스,"933,000","하락 62,000",-6.23%,"4,275,572","4,053,991","6,649,513"
현대차,"489,000","하락 12,000",-2.40%,"899,183","442,067","1,001,265"
LG에너지솔루션,"381,500","하락 12,500",-3.17%,"258,878","100,017","892,710"
SK스퀘어,"558,000","하락 47,000",-7.77%,"549,439","313,569","737,046"
삼성바이오로직스,"1,582,000","하락 3,000",-0.19%,"26,275","41,915","732,323"
한화에어로스페이스,"1,367,000","하락 33,000",-2.36%,"147,373","205,003","704,872"
두산에너빌리티,"100,800","하락 1,800",-1.75%,"2,444,003","248,025","645,686"
기아,"154,600","하락 3,300",-2.09%,"712,543","110,877","603,578"
KB금융,"152,000","상승 2,600",+1.74%,"904,744","137,448","566,733"
HD현대중공업,"511,000","하락 12,000",-2.29%,"164,893","85,335","536,352"
삼성물산,"276,500","하락 12,500",-4.33%,"325,172","91,190","469,985"
셀트리온,"202,000","하락 1,500",-0.74%,"395,912","80,761","466,717"
삼성생명,"221,500","하락 6,000",-2.64%,"342,943","77,043","443,000"
신한지주,"92,900",상승 800,+0.87%,"823,368","77,056","440,954"
한화오션,"125,600",상승 900,+0.72%,"893,658","113,742","384,855"
미래에셋증권,"65,300","하락 2,000",-2.97%,"3,522,095","236,408","362,622"
현대모비스,"396,500","하락 5,500",-1.37%,"175,942","70,043","359,755"
HD현대일렉트릭,"965,000","하락 27,000",-2.72%,"69,686","68,252","347,855"
삼성전기,"456,500","상승 2,000",+0.44%,"465,060","212,525","340,977"
NAVER,"211,500","하락 4,000",-1.86%,"346,879","74,222","331,743"
고려아연,"1,533,000","하락 60,000",-3.77%,"14,384","22,295","319,983"
삼성SDI,"393,500","하락 10,500",-2.60%,"425,621","171,232","317,104"
하나금융지주,"108,500",하락 200,-0.18%,"662,009","72,341","301,984"
한국전력,"45,700",하락 750,-1.61%,"1,411,915","65,022","293,378"
POSCO홀딩스,"341,000","하락 1,000",-0.29%,"234,690","81,061","275,981"
효성중공업,"2,856,000","하락 134,000",-4.48%,"41,647","121,464","266,309"
한미반도체,"279,000","하락 21,000",-7.00%,"609,371","175,130","265,921"
HD한국조선해양,"373,500","하락 11,500",-2.99%,"152,609","58,026","264,338"
LS ELECTRIC,"834,000","하락 10,000",-1.18%,"88,471","74,544","250,200"
한화시스템,"129,700","하락 6,900",-5.05%,"849,000","113,139","245,028"
SK,"335,500","하락 10,500",-3.03%,"160,974","55,310","243,247"
우리금융지주,"33,050",상승 50,+0.15%,"1,297,752","43,173","242,612"
삼성중공업,"26,350",하락 500,-1.86%,"2,415,216","64,823","231,880"
LG화학,"311,000","하락 7,000",-2.20%,"195,864","62,157","219,542"
카카오,"48,600",하락 450,-0.92%,"1,140,245","55,874","215,184"
HD현대,"265,000",보합 0,0.00%,"104,078","27,999","209,332"
삼성화재,"450,500","하락 39,500",-8.06%,"112,116","51,476","207,280"
현대로템,"189,200","하락 1,500",-0.79%,"605,291","115,990","206,497"
두산,"1,238,000","하락 12,000",-0.96%,"47,905","59,542","200,480"
메리츠금융지주,"114,100","상승 2,700",+2.42%,"313,879","36,223","192,830"
SK이노베이션,"110,700","하락 3,400",-2.98%,"278,159","31,191","187,141"
HMM,"19,790",하락 140,-0.70%,"2,090,851","41,593","186,667"
기업은행,"23,350",하락 50,-0.21%,"1,089,289","25,611","186,199"
LG전자,"112,600","하락 2,100",-1.83%,"522,743","59,039","183,410"
한국항공우주,"187,000","상승 2,000",+1.08%,"673,494","126,614","182,278"
KT&G,"155,300",하락 600,-0.38%,"183,365","28,816","178,093"
포스코퓨처엠,"200,000","하락 2,500",-1.23%,"275,795","56,407","177,892"
SK텔레콤,"80,000",상승 200,+0.25%,"756,807","61,149","171,832"
현대글로비스,"226,500","하락 3,000",-1.31%,"79,240","18,058","169,875"
현대건설,"152,400","하락 5,500",-3.48%,"642,753","98,994","169,706"
LIG넥스원,"735,000","상승 1,000",+0.14%,"409,018","305,301","161,700"
KT,"59,750",하락 350,-0.58%,"258,218","15,642","150,583"
포스코인터내셔널,"78,100","상승 2,300",+3.03%,"1,027,230","79,462","137,396"
LG,"87,600","하락 1,200",-1.35%,"173,382","15,277","135,098"
삼성에피스홀딩스,"532,000","하락 8,000",-1.48%,"47,709","25,664","132,378"
하이브,"304,000",하락 500,-0.16%,"364,781","111,715","130,926"
S-Oil,"112,800",하락 500,-0.44%,"282,637","31,909","126,993"
DB손해보험,"175,800","하락 18,900",-9.71%,"349,868","62,369","121,977"
삼성에스디에스,"155,500","하락 4,000",-2.51%,"126,790","19,945","120,322"
한국금융지주,"214,500","하락 6,000",-2.72%,"172,698","37,441","119,532"
NH투자증권,"33,300","하락 1,000",-2.92%,"698,487","23,499","118,663"
